
slope      -0.237549 -7.878 0
q-Boundary -0.999914 -1 0.5
========== 3 27 0 3
0 0 -1 6
amplitude  83.0357 0 1000
mean       -0.0621085 -0.8 0.8
sigma      0.224865 0.1 0.3
y-itercept 5.00404 0 830.357
slope      -1.06464 -16.6071 0
q-Boundary -0.990404 -1 0.5
========== 3 28 0 3
0 0 -1 6
amplitude  68.1696 0 1000
mean       -0.0464702 -0.8 0.8
sigma      0.216453 0.1 0.3
y-itercept 6.16043 0 681.697
slope      -1.00054 -13.6339 0
q-Boundary -0.999821 -1 0.5
========== 3 29 0 3
0 0 -1 6
amplitude  70.6624 0 1000
mean       -0.0482825 -0.8 0.8
sigma      0.221026 0.1 0.3
y-itercept 6.65331 0 706.624
slope      -0.646977 -14.1325 0
q-Boundary -0.979451 -1 0.5
========== 3 30 0 3
0 0 -1 6
amplitude  77.3808 0 1000
mean       -0.012053 -0.8 0.8
sigma      0.21713 0.1 0.3
y-itercept 12.2502 0 773.808
slope      -1.6724 -15.4762 0
q-Boundary -0.996432 -1 0.5
========== 3 31 0 3
0 0 -1 6
amplitude  66.6981 0 1000
mean       0.0215601 -0.8 0.8
sigma      0.206963 0.1 0.3
y-itercept 8.91625 0 666.98
slope      -0.960871 -13.3396 0
q-Boundary -0.997937 -1 0.5
========== 3 32 0 3
0 0 -1 6
amplitude  49.021 0 1000
mean       0.0103078 -0.8 0.8
sigma      0.19658 0.1 0.3
y-itercept 9.00712 0 490.21
slope      -0.880287 -9.8042 0
q-Boundary -0.98489 -1 0.5
========== 3 33 0 3
0 0 -1 6
amplitude  69.9366 0 1000
mean       0.0887586 -0.8 0.8
sigma      0.159466 0.1 0.3
y-itercept 7.11094 0 699.366
slope      -1.53897 -13.9873 0
q-Boundary -0.99994 -1 0.5
========== 3 34 0 3
0 0 -1 6
amplitude  859.253 0 1000
mean       0.136537 -0.8 0.8
sigma      0.103799 0.1 0.3
y-itercept 0.147669 0 8592.25
slope      -0.0335311 -171.845 0
q-Boundary 0.486689 -1 0.5
========== 3 35 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 3 36 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 3 37 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 3 38 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 3 39 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 3 40 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
