
amplitude  104.02 0 129
mean       0.195907 -0.2 2
sigma      0.198736 0 0.6
y-itercept 21.4312 0 1290
slope      -4.15609 -25.8 0
q-Boundary -2.35004 -2.85 -1.85
========== 14 16 0.6 3
0 0 -4 6
amplitude  40.1642 0 67
mean       0.19551 -0.2 2
sigma      0.182057 0 0.6
y-itercept 16.5036 0 670
slope      -4.20906 -13.4 0
q-Boundary -2.51193 -3.05 -2.05

========== 15 0 0.6 3
0 0 -4 6
amplitude  1302.11 0 1367
mean       0.13651 -0.2 2
sigma      0.19178 0 0.6
y-itercept 41.633 0 13670
slope      -5.57849 -273.4 0
q-Boundary -2.37633 -2.9625 -1.9625
========== 15 5 0.6 3
0 0 -4 6
amplitude  122.558 0 138
mean       0.136832 -0.2 2
sigma      0.176172 0 0.6
y-itercept 2.97399 0 1380
slope      -0.401506 -27.6 0
q-Boundary -0.337528 -0.8375 0.1625
========== 15 6 0.6 3
0 0 -4 6
amplitude  316.102 0 343
mean       0.0861903 -0.2 2
sigma      0.190723 0 0.6
y-itercept 2.65142 0 3430
slope      -0.184332 -68.6 0
q-Boundary -0.487558 -0.9875 0.0125
========== 15 7 0.6 3
0 0 -4 6
amplitude  227.924 0 235
mean       0.134674 -0.2 2
sigma      0.179056 0 0.6
y-itercept 4.26465 0 2350
slope      -0.637941 -47 0
q-Boundary -0.766362 -1.2625 -0.2625
========== 15 8 0.6 3
0 0 -4 6
amplitude  160.711 0 185
mean       0.154975 -0.2 2
sigma      0.181493 0 0.6
y-itercept 5.58046 0 1850
slope      -0.977127 -37 0
q-Boundary -0.937549 -1.4375 -0.4375
========== 15 9 0.6 3
0 0 -4 6
amplitude  135.02 0 162
mean       0.175539 -0.2 2
sigma      0.180966 0 0.6
y-itercept 4.96801 0 1620
slope      -0.848766 -32.4 0
q-Boundary -1.18756 -1.6875 -0.6875
========== 15 10 0.6 3
0 0 -4 6
amplitude  103.731 0 117
mean       0.166171 -0.2 2
sigma      0.186882 0 0.6
y-itercept 5.07717 0 1170
slope      -0.821873 -23.4 0
q-Boundary -1.38753 -1.8875 -0.8875
========== 15 11 0.6 3
0 0 -4 6
amplitude  77.7263 0 90
mean       0.160266 -0.2 2
sigma      0.181989 0 0.6
y-itercept 6.01608 0 900
slope      -1.09326 -18 0
q-Boundary -1.58753 -2.0875 -1.0875
========== 15 12 0.6 3
0 0 -4 6
amplitude  58.5902 0 76
mean       0.13589 -0.2 2
sigma      0.194243 0 0.6
y-itercept 6.07029 0 760
slope      -1.12628 -15.2 0
q-Boundary -1.7834 -2.2875 -1.2875
========== 15 13 0.6 3
0 0 -4 6
amplitude  79.3516 0 94
mean       0.139068 -0.2 2
sigma      0.207127 0 0.6
y-itercept 11.8845 0 940
slope      -2.12967 -18.8 0
q-Boundary -1.97504 -2.475 -1.475
========== 15 14 0.6 3
0 0 -4 6
amplitude  131.248 0 157
mean       0.152016 -0.2 2
sigma      0.202973 0 0.6
y-itercept 25.5061 0 1570
slope      -4.75138 -31.4 0
q-Boundary -2.15005 -2.65 -1.65
========== 15 15 0.6 3
0 0 -4 6
amplitude  98.8021 0 124
mean       0.210553 -0.2 2
sigma      0.193836 0 0.6
y-itercept 25.1088 0 1240
slope      -5.08034 -24.8 0
q-Boundary -2.29149 -2.85 -1.85
========== 15 16 0.6 3
0 0 -4 6
amplitude  36.7794 0 102
mean       0.215525 -0.2 2
sigma      0.177171 0 0.6
y-itercept 17.9174 0 1020
slope      -4.68783 -20.4 0
q-Boundary -2.49757 -3.05 -2.05

========== 16 0 0.6 3
0 0 -4 6
amplitude  1582.49 0 1616
mean       0.140639 -0.2 2
sigma      0.142967 0 0.6
y-itercept 39.7331 0 16160
slope      -4.75802 -323.2 0
q-Boundary -2.38767 -2.8875 -1.8875
========== 16 5 0.6 3
0 0 -4 6
amplitude  114.69 0 126
mean       0.179661 -0.2 2
sigma      0.0755798 0 0.6
y-itercept 3.78156 0 1260
slope      -0.658443 -25.2 0
q-Boundary 0.0730869 -0.4375 0.5625
========== 16 6 0.6 3
0 0 -4 6
amplitude  455.763 0 504
mean       0.11588 -0.2 2
sigma      0.106604 0 0.6
y-itercept 4.16937 0 5040
slope      -0.578977 -100.8 0
q-Boundary -0.127105 -0.6375 0.3625
========== 16 7 0.6 3
0 0 -4 6
amplitude  305.248 0 311
mean       0.137176 -0.2 2
sigma      0.136786 0 0.6
y-itercept 3.0413 0 3110
slope      -0.294289 -62.2 0
q-Boundary -0.337534 -0.8375 0.1625
========== 16 8 0.6 3
0 0 -4 6
amplitude  219.685 0 246
mean       0.154035 -0.2 2
sigma      0.144345 0 0.6
y-itercept 4.84602 0 2460
slope      -0.751661 -49.2 0
q-Boundary -0.662547 -1.1625 -0.1625
========== 16 9 0.6 3
0 0 -4 6
amplitude  166.005 0 193
mean       0.162067 -0.2 2
sigma      0.149305 0 0.6
y-itercept 4.31537 0 1930
slope      -0.663753 -38.6 0
q-Boundary -0.89364 -1.3875 -0.3875
========== 16 10 0.6 3
0 0 -4 6
amplitude  122.853 0 125
mean       0.145283 -0.2 2
sigma      0.161826 0 0.6
y-itercept 4.57911 0 1250
slope      -0.64784 -25 0
q-Boundary -1.18745 -1.6875 -0.6875
========== 16 11 0.6 3
0 0 -4 6
amplitude  82.7665 0 100
mean       0.140829 -0.2 2
sigma      0.173016 0 0.6
y-itercept 5.69588 0 1000
slope      -0.979393 -20 0
q-Boundary -1.38756 -1.8875 -0.8875
========== 16 12 0.6 3
0 0 -4 6
amplitude  65.5356 0 81
mean       0.12134 -0.2 2
sigma      0.187023 0 0.6
y-itercept 5.40133 0 810
slope      -0.92664 -16.2 0
q-Boundary -1.63753 -2.1375 -1.1375
========== 16 13 0.6 3
0 0 -4 6
amplitude  96.0114 0 113
mean       0.118849 -0.2 2
sigma      0.190839 0 0.6
y-itercept 12.2041 0 1130
slope      -2.07082 -22.6 0
q-Boundary -1.79644 -2.375 -1.375
========== 16 14 0.6 3
0 0 -4 6
amplitude  139.778 0 159
mean       0.142174 -0.2 2
