Angle [deg]1	CM	Angle [deg]2	Lab (0->) 40Ar	Angle [deg]3	Lab (0<-) 40Ar	Angle [deg]4	Lab (0->)  1H	Angle [deg]5	Lab (0<-)  1H	
8.323100	826915    	0.114149	1.40823e+10	0.114149	34490.4   	4.187286	93.2955   	4.187286	93.2955   	
8.502950	759259    	0.115543	1.34146e+10	0.115543	34495.7   	4.277227	93.328    	4.277227	93.328    	
8.682800	698389    	0.116938	1.27861e+10	0.116938	34501.1   	4.367168	93.3612   	4.367168	93.3612   	
8.862650	643504    	0.118332	1.21939e+10	0.118332	34506.6   	4.457109	93.3952   	4.457109	93.3952   	
9.042500	593913    	0.119727	1.16357e+10	0.119727	34512.1   	4.547050	93.4298   	4.547050	93.4298   	
9.222350	549014    	0.121122	1.1109e+10	0.121122	34517.6   	4.636991	93.4651   	4.636991	93.4651   	
9.402200	508283    	0.122516	1.06118e+10	0.122516	34523.3   	4.726932	93.5012   	4.726932	93.5012   	
9.582050	471265    	0.123911	1.0142e+10	0.123911	34529.1   	4.816873	93.538    	4.816873	93.538    	
9.761900	437560    	0.125305	9.69805e+09	0.125305	34534.8   	4.906814	93.5754   	4.906814	93.5754   	
9.941750	406820    	0.126700	9.27807e+09	0.126700	34540.7   	4.996755	93.6136   	4.996755	93.6136   	
10.121600	378736    	0.128094	8.88058e+09	0.128094	34546.6   	5.086696	93.6525   	5.086696	93.6525   	
10.301450	353037    	0.129489	8.50417e+09	0.129489	34552.6   	5.176637	93.6921   	5.176637	93.6921   	
10.481300	329485    	0.130883	8.14748e+09	0.130883	34558.7   	5.266578	93.7325   	5.266578	93.7325   	
10.661150	307868    	0.132278	7.80929e+09	0.132278	34564.8   	5.356519	93.7735   	5.356519	93.7735   	
10.841000	287997    	0.133672	7.48848e+09	0.133672	34571     	5.446460	93.8153   	5.446460	93.8153   	
11.020850	269707    	0.135067	7.18397e+09	0.135067	34577.2   	5.536401	93.8578   	5.536401	93.8578   	
11.200700	252848    	0.136462	6.89478e+09	0.136462	34583.6   	5.626342	93.901    	5.626342	93.901    	
11.380550	237289    	0.137856	6.62e+09  	0.137856	34590     	5.716283	93.9449   	5.716283	93.9449   	
11.560400	222910    	0.139251	6.35877e+09	0.139251	34596.4   	5.806224	93.9895   	5.806224	93.9895   	
11.740250	209606    	0.140645	6.1103e+09	0.140645	34603     	5.896165	94.0349   	5.896165	94.0349   	
11.920100	197282    	0.142040	5.87385e+09	0.142040	34609.6   	5.986106	94.081    	5.986106	94.081    	
12.099950	185853    	0.143434	5.64873e+09	0.143434	34616.2   	6.076047	94.1278   	6.076047	94.1278   	
